order_item_id,order_id,product_id,quantity,unit_price,discount_rate,customer_id,store_id,employee_id,order_date,channel,promotion_id,order_status,category,subcategory,supplier_id,unit_cost,gross_sales,cost,gross_profit,margin_pct
19,7,81,2,256.28,0.25,237,8,29,2025-10-25,Store,1.0,Cancelled,Apparel,Accessories,7,179.68,512.56,359.36,153.19999999999993,0.2988918370532229
20,7,13,4,44.8,0.25,237,8,29,2025-10-25,Store,1.0,Cancelled,Electronics,Accessories,12,27.43,179.2,109.72,69.47999999999999,0.38772321428571427
21,8,163,2,329.02,0.1,71,2,77,2025-05-04,Online,4.0,Completed,Beauty,Fragrance,23,216.91,658.04,433.82,224.21999999999997,0.3407391647924138
22,8,143,4,125.75,0.15000000000000002,71,2,77,2025-05-04,Online,4.0,Completed,Sports,Outdoor,10,85.67,503.0,342.68,160.32,0.318727634194831
23,8,43,1,290.35,0.1,71,2,77,2025-05-04,Online,4.0,Completed,Home,Decor,22,201.86,290.35,201.86,88.49000000000001,0.30477010504563457
24,9,28,1,305.98,0.25,1138,4,89,2024-12-08,Mobile,1.0,Completed,Electronics,Monitors,16,180.84,305.98,180.84,125.14000000000001,0.40898097914896403
25,9,166,2,180.56,0.25,1138,4,89,2024-12-08,Mobile,1.0,Completed,Beauty,Personal Care,2,105.96,361.12,211.92,149.20000000000002,0.4131590607000443
26,9,168,3,201.12,0.35,1138,4,89,2024-12-08,Mobile,1.0,Completed,Beauty,Personal Care,24,139.19,603.36,417.57,185.79000000000002,0.30792561654733497
27,9,2,4,80.61,0.35,1138,4,89,2024-12-08,Mobile,1.0,Completed,Electronics,Monitors,11,99.04,322.44,396.16,-73.72000000000003,-0.22863168341396858
28,10,111,2,180.55,0.30000000000000004,863,10,78,2024-05-12,Store,18.0,Completed,Sports,Team Sports,5,177.73,361.1,355.46,5.640000000000043,0.015618942121296159
29,11,156,1,121.03,0.2,1064,6,1,2025-02-04,Store,6.0,Completed,Beauty,Fragrance,6,105.56,121.03,105.56,15.469999999999999,0.12781954887218044
30,11,5,3,324.52,0.15,1064,6,1,2025-02-04,Store,6.0,Completed,Electronics,Audio,14,184.4,973.56,553.2,420.3599999999999,0.4317761617157647
31,11,102,4,242.41,0.2,1064,6,1,2025-02-04,Store,6.0,Completed,Apparel,Men,16,197.45,969.64,789.8,179.84000000000003,0.18547089641516443
32,12,14,3,110.07,0.15000000000000002,359,10,66,2025-01-10,Store,16.0,Completed,Electronics,Accessories,5,59.28,330.21,177.84,152.36999999999998,0.4614336331425456
33,12,173,3,408.93,0.1,359,10,66,2025-01-10,Store,16.0,Completed,Beauty,Fragrance,21,195.08,1226.79,585.24,641.55,0.5229501381654562
34,13,30,2,129.83,0.2,482,11,56,2025-04-04,Store,13.0,Completed,Electronics,Laptops,13,99.95,259.66,199.9,59.76000000000002,0.23014711545867678
35,13,94,1,100.41,0.2,482,11,56,2025-04-04,Store,13.0,Completed,Apparel,Accessories,7,52.63,100.41,52.63,47.779999999999994,0.4758490190220097
36,13,152,4,56.24,0.2,482,11,56,2025-04-04,Store,13.0,Completed,Beauty,Skincare,13,37.86,224.96,151.44,73.52000000000001,0.3268136557610242
37,13,16,4,105.96,0.2,482,11,56,2025-04-04,Store,13.0,Completed,Electronics,Monitors,3,59.97,423.84,239.88,183.95999999999998,0.43403171007927516
38,14,26,1,260.85,0.25,141,12,79,2025-03-31,Online,13.0,Cancelled,Electronics,Laptops,3,152.27,260.85,152.27,108.58000000000001,0.4162545524247652
39,14,105,2,137.09,0.30000000000000004,141,12,79,2025-03-31,Online,13.0,Cancelled,Apparel,Men,14,103.89,274.18,207.78,66.4,0.2421766722590999
40,15,113,2,185.4,0.2,250,10,46,2025-03-26,Store,16.0,Completed,Sports,Fitness,6,185.24,370.8,370.48,0.3199999999999932,0.00086299892125133
41,16,65,4,318.85,0.30000000000000004,678,12,79,2024-03-07,Store,17.0,Completed,Home,Decor,5,212.45,1275.4,849.8,425.60000000000014,0.3336992316136115
42,17,144,2,127.17,0.05,359,11,7,2024-12-16,Online,12.0,Completed,Sports,Cycling,12,88.67,254.34,177.34,77.0,0.3027443579460565
43,17,79,2,60.72,0.15000000000000002,359,11,7,2024-12-16,Online,12.0,Completed,Apparel,Women,13,38.19,121.44,76.38,45.06,0.37104743083003955
44,17,69,3,46.53,0.15000000000000002,359,11,7,2024-12-16,Online,12.0,Completed,Home,Furniture,6,24.05,139.59,72.15,67.44,0.48312916398022776
45,18,43,2,290.35,0.1,565,8,75,2024-06-08,Store,12.0,Completed,Home,Decor,22,201.86,580.7,403.72,176.98000000000002,0.30477010504563457
46,18,34,2,395.55,0.05,565,8,75,2024-06-08,Store,12.0,Completed,Electronics,Laptops,24,202.07,791.1,404.14,386.96000000000004,0.48914170142839086
47,18,45,4,171.54,0.05,565,8,75,2024-06-08,Store,12.0,Completed,Home,Kitchen,13,83.28,686.16,333.12,353.03999999999996,0.5145155648828261
48,18,104,4,253.95,0.1,565,8,75,2024-06-08,Store,12.0,Completed,Apparel,Footwear,10,121.75,1015.8,487.0,528.8,0.5205749163221106
49,18,40,3,164.59,0.05,565,8,75,2024-06-08,Store,12.0,Completed,Home,Furniture,15,88.8,493.77,266.4,227.37,0.46047755027644455
50,19,98,3,121.48,0.25,872,11,7,2024-06-29,Mobile,14.0,Completed,Apparel,Accessories,18,118.3,364.44,354.9,9.54000000000002,0.026177148501811055
51,19,33,3,150.81,0.3,872,11,7,2024-06-29,Mobile,14.0,Completed,Electronics,Laptops,3,162.19,452.43,486.57,-34.139999999999986,-0.07545918705656121
52,20,68,1,136.99,0.25,1051,9,2,2024-07-30,Store,18.0,Completed,Home,Cleaning,20,84.22,136.99,84.22,52.77000000000001,0.38521059931381857
53,20,48,1,153.66,0.2,1051,9,2,2024-07-30,Store,18.0,Completed,Home,Cleaning,14,99.84,153.66,99.84,53.81999999999999,0.3502538071065989
54,20,24,2,335.5,0.2,1051,9,2,2024-07-30,Store,18.0,Completed,Electronics,Accessories,6,183.01,671.0,366.02,304.98,0.4545156482861401
55,20,76,4,121.27,0.2,1051,9,2,2024-07-30,Store,18.0,Completed,Apparel,Men,8,101.41,485.08,405.64,79.44,0.16376680135235425
56,20,154,2,20.9,0.2,1051,9,2,2024-07-30,Store,18.0,Completed,Beauty,Haircare,4,14.43,41.8,28.86,12.939999999999998,0.3095693779904306
57,21,12,1,219.56,0.1,574,6,17,2025-12-14,Online,16.0,Completed,Electronics,Accessories,21,161.29,219.56,161.29,58.27000000000001,0.26539442521406453
58,21,145,3,282.25,0.2,574,6,17,2025-12-14,Online,16.0,Completed,Beauty,Skincare,19,166.1,846.75,498.29999999999995,348.45000000000005,0.41151461470327727
59,21,21,4,24.58,0.1,574,6,17,2025-12-14,Online,16.0,Completed,Electronics,Monitors,12,12.88,98.32,51.52,46.79999999999999,0.47599674532139946
60,21,62,4,287.08,0.2,574,6,17,2025-12-14,Online,16.0,Completed,Home,Kitchen,7,210.98,1148.32,843.92,304.4,0.26508290372021737
61,21,88,4,196.16,0.1,574,6,17,2025-12-14,Online,16.0,Completed,Apparel,Footwear,24,100.81,784.64,403.24,381.4,0.4860827895595432
62,22,26,2,260.85,0.25,626,5,62,2024-04-30,Store,9.0,Cancelled,Electronics,Laptops,3,152.27,521.7,304.54,217.16000000000003,0.4162545524247652
63,22,165,3,167.27,0.15,626,5,62,2024-04-30,Store,9.0,Cancelled,Beauty,Personal Care,7,98.59,501.81000000000006,295.77,206.04000000000008,0.41059365098344003
64,22,71,3,253.44,0.25,626,5,62,2024-04-30,Store,9.0,Cancelled,Home,Furniture,11,213.62,760.3199999999999,640.86,119.45999999999992,0.15711805555555547
65,23,48,4,163.27,0.15,178,4,57,2024-02-14,Store,10.0,Completed,Home,Cleaning,14,99.84,653.08,399.36,253.72000000000003,0.38849758069455503
66,23,69,2,46.53,0.15,178,4,57,2024-02-14,Store,10.0,Completed,Home,Furniture,6,24.05,93.06,48.1,44.96,0.4831291639802278
67,23,162,3,83.78,0.15,178,4,57,2024-02-14,Store,10.0,Completed,Beauty,Haircare,10,49.81,251.34,149.43,101.91,0.4054666984960611
68,23,148,1,140.69,0.25,178,4,57,2024-02-14,Store,10.0,Completed,Beauty,Skincare,16,126.06,140.69,126.06,14.629999999999995,0.10398749022673962
69,23,45,1,153.48,0.15,178,4,57,2024-02-14,Store,10.0,Completed,Home,Kitchen,13,83.28,153.48,83.28,70.19999999999999,0.45738858483189987
70,24,43,1,241.96,0.25,754,9,33,2025-05-02,Store,11.0,Cancelled,Home,Decor,22,201.86,241.96,201.86,40.099999999999994,0.1657298727062324
71,24,23,1,281.61,0.25,754,9,33,2025-05-02,Store,11.0,Cancelled,Electronics,Audio,19,170.25,281.61,170.25,111.36000000000001,0.3954405028230532
72,24,37,1,145.57,0.35,754,9,33,2025-05-02,Store,11.0,Cancelled,Home,Furniture,11,108.25,145.57,108.25,37.31999999999999,0.2563715051178127
73,24,16,2,99.34,0.25,754,9,33,2025-05-02,Store,11.0,Cancelled,Electronics,Monitors,3,59.97,198.68,119.94,78.74000000000001,0.3963156835111738
74,25,167,2,159.23,0.35,624,5,81,2025-12-06,Mobile,14.0,Completed,Beauty,Personal Care,1,154.46,318.46,308.92,9.539999999999964,0.029956666457325767
75,25,169,3,76.6,0.25,624,5,81,2025-12-06,Mobile,14.0,Completed,Beauty,Personal Care,20,44.52,229.79999999999998,133.56,96.23999999999998,0.418798955613577
76,25,45,2,126.4,0.3,624,5,81,2025-12-06,Mobile,14.0,Completed,Home,Kitchen,13,83.28,252.8,166.56,86.24000000000001,0.34113924050632916
77,25,43,4,225.83,0.3,624,5,81,2025-12-06,Mobile,14.0,Completed,Home,Decor,22,201.86,903.32,807.44,95.88,0.10614178807067262
78,26,104,3,211.63,0.25,370,3,50,2025-01-29,Store,8.0,Cancelled,Apparel,Footwear,10,121.75,634.89,365.25,269.64,0.4247034919434863
79,26,136,3,175.59,0.35,370,3,50,2025-01-29,Store,8.0,Cancelled,Sports,Team Sports,13,142.88,526.77,428.64,98.13,0.18628623497921293
80,27,31,3,46.06,0.30000000000000004,936,12,59,2024-04-06,Online,15.0,Cancelled,Electronics,Accessories,3,32.56,138.18,97.68,40.5,0.2930959617889709
81,27,25,2,18.65,0.2,936,12,59,2024-04-06,Online,15.0,Cancelled,Electronics,Monitors,22,15.56,37.3,31.12,6.179999999999996,0.16568364611260045
82,27,83,4,307.94,0.2,936,12,59,2024-04-06,Online,15.0,Cancelled,Apparel,Footwear,23,164.88,1231.76,659.52,572.24,0.46457102032863545
83,27,138,1,144.34,0.2,936,12,59,2024-04-06,Online,15.0,Cancelled,Sports,Team Sports,11,100.89,144.34,100.89,43.45,0.3010253567964528
84,27,47,4,69.1,0.2,936,12,59,2024-04-06,Online,15.0,Cancelled,Home,Kitchen,18,46.81,276.4,187.24,89.15999999999997,0.3225759768451519
85,28,167,2,195.98,0.2,650,1,13,2024-10-07,Online,9.0,Completed,Beauty,Personal Care,1,154.46,391.96,308.92,83.03999999999996,0.21185835289315227
86,28,118,1,288.01,0.15,650,1,13,2024-10-07,Online,9.0,Completed,Sports,Fitness,6,171.23,288.01,171.23,116.78,0.40547203222110345
87,28,78,3,258.24,0.25,650,1,13,2024-10-07,Online,9.0,Completed,Apparel,Men,21,157.87,774.72,473.61,301.11,0.3886694547707559
88,29,142,3,259.05,0.3,208,12,4,2024-02-26,Store,14.0,Completed,Sports,Outdoor,23,177.02,777.1500000000001,531.0600000000001,246.09000000000003,0.31665701602007335
89,29,71,2,253.44,0.25,208,12,4,2024-02-26,Store,14.0,Completed,Home,Furniture,11,213.62,506.88,427.24,79.63999999999999,0.15711805555555552
90,29,79,1,53.58,0.25,208,12,4,2024-02-26,Store,14.0,Completed,Apparel,Women,13,38.19,53.58,38.19,15.39,0.2872340425531915
91,30,143,1,118.35,0.2,882,1,85,2025-06-25,Store,15.0,Completed,Sports,Outdoor,10,85.67,118.35,85.67,32.67999999999999,0.27613012251795516
92,30,64,1,187.89,0.2,882,1,85,2025-06-25,Store,15.0,Completed,Home,Decor,22,127.45,187.89,127.45,60.43999999999998,0.3216775773058704
93,30,173,4,318.06,0.30000000000000004,882,1,85,2025-06-25,Store,15.0,Completed,Beauty,Fragrance,21,195.08,1272.24,780.32,491.91999999999996,0.38665660567188576
94,30,178,1,40.26,0.2,882,1,85,2025-06-25,Store,15.0,Completed,Beauty,Haircare,12,30.09,40.26,30.09,10.169999999999998,0.2526080476900149
95,31,39,2,171.71,0.25,106,4,6,2024-08-30,Online,2.0,Completed,Home,Kitchen,21,101.53,343.42,203.06,140.36,0.4087123638693146
96,31,148,4,150.06,0.2,106,4,6,2024-08-30,Online,2.0,Completed,Beauty,Skincare,16,126.06,600.24,504.24,96.0,0.15993602558976408
97,31,72,1,96.57,0.15,106,4,6,2024-08-30,Online,2.0,Completed,Home,Cleaning,7,89.89,96.57,89.89,6.679999999999993,0.06917262089675875
98,31,175,3,99.12,0.15,106,4,6,2024-08-30,Online,2.0,Completed,Beauty,Haircare,11,54.33,297.36,162.99,134.37,0.45187651331719125
99,31,144,4,113.78,0.15,106,4,6,2024-08-30,Online,2.0,Completed,Sports,Cycling,12,88.67,455.12,354.68,100.44,0.2206890490420109
100,32,154,3,24.81,0.05,746,7,51,2024-05-09,Online,12.0,Completed,Beauty,Haircare,4,14.43,74.42999999999999,43.29,31.139999999999993,0.4183796856106408
101,32,126,2,53.91,0.05,746,7,51,2024-05-09,Online,12.0,Completed,Sports,Cycling,3,32.03,107.82,64.06,43.75999999999999,0.4058616212205527
102,32,87,4,90.7,0.1,746,7,51,2024-05-09,Online,12.0,Completed,Apparel,Women,5,49.95,362.8,199.8,163.0,0.4492833517089305
103,32,96,1,320.2,0.1,746,7,51,2024-05-09,Online,12.0,Completed,Apparel,Accessories,12,184.94,320.2,184.94,135.26,0.42242348532167395
104,32,12,1,219.56,0.1,746,7,51,2024-05-09,Online,12.0,Completed,Electronics,Accessories,21,161.29,219.56,161.29,58.27000000000001,0.26539442521406453
105,33,114,4,25.66,0.25,157,2,27,2025-02-13,Store,6.0,Completed,Sports,Team Sports,11,20.29,102.64,81.16,21.480000000000004,0.20927513639906473
106,34,106,1,210.73,0.2,632,9,68,2025-07-06,Store,4.0,Completed,Apparel,Accessories,10,141.36,210.73,141.36,69.36999999999998,0.3291890096331798
107,35,62,2,322.97,0.1,708,12,4,2025-07-09,Store,4.0,Completed,Home,Kitchen,7,210.98,645.94,421.96,223.98000000000008,0.3467504721800787
108,35,6,4,50.27,0.1,708,12,4,2025-07-09,Store,4.0,Completed,Electronics,Monitors,4,38.57,201.08,154.28,46.80000000000001,0.23274318679132688
109,36,77,2,370.63,0.25,587,1,9,2025-06-24,Store,15.0,Completed,Apparel,Footwear,19,217.73,741.26,435.46,305.8,0.41254080889296607
110,36,117,4,54.31,0.2,587,1,9,2025-06-24,Store,15.0,Completed,Sports,Outdoor,10,54.26,217.24,217.04,0.20000000000001705,0.0009206407659731957
111,36,103,1,116.7,0.2,587,1,9,2025-06-24,Store,15.0,Completed,Apparel,Accessories,4,68.63,116.7,68.63,48.07000000000001,0.41191088260497005
112,36,120,3,277.44,0.2,587,1,9,2025-06-24,Store,15.0,Completed,Sports,Cycling,9,178.25,832.3199999999999,534.75,297.56999999999994,0.3575187427912341
113,36,163,1,274.19,0.25,587,1,9,2025-06-24,Store,15.0,Completed,Beauty,Fragrance,23,216.91,274.19,216.91,57.28,0.20890623290419053
114,37,2,3,99.22,0.2,360,4,6,2025-01-13,Online,17.0,Completed,Electronics,Monitors,11,99.04,297.65999999999997,297.12,0.5399999999999636,0.0018141503729085658
115,37,100,1,241.06,0.2,360,4,6,2025-01-13,Online,17.0,Completed,Apparel,Men,24,133.82,241.06,133.82,107.24000000000001,0.4448684974695097
116,37,85,3,80.71,0.2,360,4,6,2025-01-13,Online,17.0,Completed,Apparel,Accessories,19,73.31,242.13,219.93,22.19999999999999,0.09168628422748105
117,38,81,2,307.54,0.1,292,3,50,2024-01-24,Online,,Completed,Apparel,Accessories,7,179.68,615.08,359.36,255.72000000000003,0.41575079664433895
118,38,27,1,109.88,0.0,292,3,50,2024-01-24,Online,,Completed,Electronics,Laptops,1,60.66,109.88,60.66,49.22,0.44794321077539134
119,38,56,4,191.84,0.1,292,3,50,2024-01-24,Online,,Completed,Home,Cleaning,8,93.63,767.36,374.52,392.84000000000003,0.5119370308590493
120,38,67,3,349.93,0.0,292,3,50,2024-01-24,Online,,Completed,Home,Cleaning,9,196.8,1049.79,590.4000000000001,459.3899999999999,0.4376018060755007
121,38,137,1,66.35,0.0,292,3,50,2024-01-24,Online,,Completed,Sports,Cycling,22,38.54,66.35,38.54,27.809999999999995,0.41914091936699316
122,39,98,3,161.98,0.0,1093,5,81,2025-07-28,Online,,Cancelled,Apparel,Accessories,18,118.3,485.93999999999994,354.9,131.03999999999996,0.26966292134831454
123,39,89,4,133.92,0.0,1093,5,81,2025-07-28,Online,,Cancelled,Apparel,Men,6,100.89,535.68,403.56,132.11999999999995,0.24663978494623648
124,39,76,3,151.59,0.0,1093,5,81,2025-07-28,Online,,Cancelled,Apparel,Men,8,101.41,454.77,304.23,150.53999999999996,0.33102447390988843
125,39,95,1,379.49,0.1,1093,5,81,2025-07-28,Online,,Cancelled,Apparel,Men,2,188.45,379.49,188.45,191.04000000000002,0.5034124746370129
126,39,16,2,119.2,0.1,1093,5,81,2025-07-28,Online,,Cancelled,Electronics,Monitors,3,59.97,238.4,119.94,118.46000000000001,0.49689597315436246
127,40,179,3,84.41,0.25,1084,11,63,2024-04-07,Online,8.0,Completed,Beauty,Haircare,14,58.77,253.23,176.31,76.91999999999999,0.30375547920862456
128,40,26,2,260.85,0.25,1084,11,63,2024-04-07,Online,8.0,Completed,Electronics,Laptops,3,152.27,521.7,304.54,217.16000000000003,0.4162545524247652
129,40,118,4,254.12,0.25,1084,11,63,2024-04-07,Online,8.0,Completed,Sports,Fitness,6,171.23,1016.48,684.92,331.56000000000006,0.3261844797733355
130,40,46,3,36.69,0.35,1084,11,63,2024-04-07,Online,8.0,Completed,Home,Kitchen,1,37.49,110.07,112.47,-2.4000000000000057,-0.021804306350504277
131,40,88,4,163.47,0.25,1084,11,63,2024-04-07,Online,8.0,Completed,Apparel,Footwear,24,100.81,653.88,403.24,250.64,0.38331192267694375
132,41,139,1,362.95,0.1,838,10,90,2025-08-10,Online,4.0,Completed,Sports,Outdoor,6,203.03,362.95,203.03,159.92,0.4406116544978647
133,42,50,1,21.79,0.1,900,6,1,2025-02-22,Store,16.0,Completed,Home,Cleaning,20,17.56,21.79,17.56,4.23,0.1941257457549335
134,42,140,2,250.94,0.1,900,6,1,2025-02-22,Store,16.0,Completed,Sports,Cycling,23,218.04,501.88,436.08,65.80000000000001,0.13110703753885394
135,42,66,4,95.51,0.2,900,6,1,2025-02-22,Store,16.0,Completed,Home,Kitchen,3,56.74,382.04,226.96,155.08,0.4059260810386347
136,42,174,2,312.16,0.1,900,6,1,2025-02-22,Store,16.0,Completed,Beauty,Fragrance,9,146.54,624.32,293.08,331.24000000000007,0.5305612506406971
137,43,61,2,233.22,0.1,56,10,71,2025-01-08,Store,,Completed,Home,Cleaning,22,177.23,466.44,354.46,111.98000000000002,0.24007375010719495
138,43,28,4,407.97,0.0,56,10,71,2025-01-08,Store,,Completed,Electronics,Monitors,16,180.84,1631.88,723.36,908.5200000000001,0.5567321126553423
139,43,20,2,140.95,0.0,56,10,71,2025-01-08,Store,,Completed,Electronics,Audio,23,110.42,281.9,220.84,61.059999999999974,0.2166016317843206
140,44,81,4,256.28,0.25,472,4,24,2025-03-25,Online,1.0,Completed,Apparel,Accessories,7,179.68,1025.12,718.72,306.39999999999986,0.2988918370532229
141,44,103,4,109.4,0.25,472,4,24,2025-03-25,Online,1.0,Completed,Apparel,Accessories,4,68.63,437.6,274.52,163.08000000000004,0.3726691042047533
142,44,83,4,269.45,0.3,472,4,24,2025-03-25,Online,1.0,Completed,Apparel,Footwear,23,164.88,1077.8,659.52,418.28,0.38808684357023565
143,44,48,1,144.06,0.25,472,4,24,2025-03-25,Online,1.0,Completed,Home,Cleaning,14,99.84,144.06,99.84,44.22,0.3069554352353186
144,45,22,4,81.82,0.15000000000000002,928,9,68,2025-05-20,Store,5.0,Completed,Electronics,Audio,8,72.18,327.28,288.72,38.559999999999945,0.11781960400879965
145,45,121,4,388.21,0.1,928,9,68,2025-05-20,Store,5.0,Completed,Sports,Outdoor,20,189.8,1552.84,759.2,793.6399999999999,0.5110893588521676
146,46,41,3,152.15,0.25,867,8,34,2025-04-19,Store,1.0,Cancelled,Home,Furniture,20,116.64,456.45000000000005,349.92,106.53000000000003,0.23338810384488995
147,46,58,2,235.97,0.25,867,8,34,2025-04-19,Store,1.0,Cancelled,Home,Furniture,18,144.25,471.94,288.5,183.44,0.38869347798448955
148,46,115,4,281.08,0.35,867,8,34,2025-04-19,Store,1.0,Cancelled,Sports,Fitness,19,193.81,1124.32,775.24,349.0799999999999,0.31048100185000704
149,46,127,4,84.96,0.35,867,8,34,2025-04-19,Store,1.0,Cancelled,Sports,Cycling,21,101.66,339.84,406.64,-66.80000000000001,-0.1965630885122411
150,46,167,2,183.73,0.25,867,8,34,2025-04-19,Store,1.0,Cancelled,Beauty,Personal Care,1,154.46,367.46,308.92,58.539999999999964,0.15930985685516783
151,47,47,4,73.42,0.15000000000000002,467,6,41,2024-12-05,Store,7.0,Completed,Home,Kitchen,18,46.81,293.68,187.24,106.44,0.36243530373195315
152,47,1,4,230.09,0.1,467,6,41,2024-12-05,Store,7.0,Completed,Electronics,Accessories,12,141.66,920.36,566.64,353.72,0.38432787170237737
153,47,149,1,136.47,0.2,467,6,41,2024-12-05,Store,7.0,Completed,Beauty,Haircare,2,79.35,136.47,79.35,57.120000000000005,0.4185535282479666
154,47,111,2,232.14,0.1,467,6,41,2024-12-05,Store,7.0,Completed,Sports,Team Sports,5,177.73,464.28,355.46,108.82,0.23438442319290084
155,48,54,3,126.65,0.25,1078,11,52,2024-07-26,Online,9.0,Completed,Home,Kitchen,17,111.59,379.95000000000005,334.77,45.180000000000064,0.11891038294512452
156,48,50,3,20.58,0.15,1078,11,52,2024-07-26,Online,9.0,Completed,Home,Cleaning,20,17.56,61.739999999999995,52.67999999999999,9.060000000000002,0.14674441205053454
157,48,2,2,105.42,0.15,1078,11,52,2024-07-26,Online,9.0,Completed,Electronics,Monitors,11,99.04,210.84,198.08,12.759999999999991,0.06051982546006446
158,49,100,4,225.99,0.25,1026,1,73,2025-11-13,Store,17.0,Completed,Apparel,Men,24,133.82,903.96,535.28,368.68000000000006,0.4078499048630471
159,50,10,2,437.34,0.1,730,1,65,2025-10-12,Online,12.0,Completed,Electronics,Laptops,1,215.77,874.68,431.54,443.13999999999993,0.5066309964787121
160,50,81,3,290.45,0.15000000000000002,730,1,65,2025-10-12,Online,12.0,Completed,Apparel,Accessories,7,179.68,871.3499999999999,539.04,332.30999999999995,0.3813737304183164
161,50,120,1,329.46,0.05,730,1,65,2025-10-12,Online,12.0,Completed,Sports,Cycling,9,178.25,329.46,178.25,151.20999999999998,0.4589631518241971
162,50,88,3,207.06,0.05,730,1,65,2025-10-12,Online,12.0,Completed,Apparel,Footwear,24,100.81,621.1800000000001,302.43,318.75000000000006,0.513136288998358
163,50,18,1,116.29,0.1,730,1,65,2025-10-12,Online,12.0,Completed,Electronics,Monitors,12,57.17,116.29,57.17,59.120000000000005,0.5083842118840829
164,51,69,1,41.05,0.25,9,9,28,2024-04-24,Online,13.0,Completed,Home,Furniture,6,24.05,41.05,24.05,16.999999999999996,0.4141291108404384
165,52,31,3,52.64,0.2,191,9,19,2025-10-06,Online,5.0,Completed,Electronics,Accessories,3,32.56,157.92000000000002,97.68,60.24000000000001,0.38145896656534956
166,52,1,4,204.53,0.2,191,9,19,2025-10-06,Online,5.0,Completed,Electronics,Accessories,12,141.66,818.12,566.64,251.48000000000002,0.30738766929056865
167,53,60,2,216.28,0.0,1190,3,82,2025-10-11,Mobile,,Completed,Home,Furniture,13,104.45,432.56,208.9,223.66,0.5170612169410024
168,53,84,3,288.35,0.05,1190,3,82,2025-10-11,Mobile,,Completed,Apparel,Footwear,14,172.24,865.0500000000001,516.72,348.33000000000004,0.4026703658748049
169,54,134,1,109.11,0.2,124,6,17,2025-11-12,Store,13.0,Completed,Sports,Cycling,9,89.94,109.11,89.94,19.17,0.17569425350563653
170,54,87,4,80.62,0.2,124,6,17,2025-11-12,Store,13.0,Completed,Apparel,Women,5,49.95,322.48,199.8,122.68,0.380426693128256
